प्रसिद्ध,Famous
घातक,Deadly
इच्छुक,Desirous
सेल्टिक,Celtic
दफन,Burial
Kels,Kels
द्वीप,The island
स्कॉटलैंड,Scotland
तट,Coast
उतर,Off
कथाओं,The stories
भयंकर,Frightful
मूर्ति,cculpture
परिणामस्वरूप,the resulting
समुराई,Samurai
छाया,Shadow
br,br
/,/
तथ्यों,The facts
अप्रासंगिक,non relevant
रहस्यवाद,Mysticism
शाखा,Branch
निरपेक्ष,Absolute
लिंगों,Sexes
भाग्यशाली,Fortunate
घूमने,roam
वयस्कों,Adults
शिद्दत,Insight
अध्यक्षता,Presiding
हमलावर,Attacker
ठहराया,Ordained
घिनौना,Disgusting
मेरिल,Merrill
उदाहरणों,Examples
बॉर्न,Bourne
बचाया,Rescued
ब्लेयर,Blair
स्टंट,Stunt
Joan,Joan
जूलिया,Julia
गुप्त,secret
सीआईए,CIA
जोड़ा,Added
२००७,2007
Fido,Fido
सावधान,careful
खारिज,Dismissed
दर्ज़ा,Rating
बने,Made
हैं.,Are there.
नौसेना,Navy
गोताखोर,The diver
स्वर्गीय,Heavenly
प्रतिष्ठा,Prestige
सीमेंट,Cement
अजगर,Python
तथाकथित,So called
महानता,Greatness
नंगे,Bare
रश,The rush
लात,Kick
किक,kick
कुंग,Kung
फू,Foo
गड़गड़ाहट,Thunder
पीला,Yellow
हमने,We
मॉल,The mall
कांच,The glass
हथियारों,Arms
उपकरणों,Equipment
तोड़ने,To break
चर्चा,Discussion
मैट्रिक्स,Matrix
CGI,CGI
प्रवंचना,Trickery
pulsating,pulsating
नौसिखिया,beginner elementary
बोस्टन,Boston
विफलताओं,Failures
कट्टरपंथी,The fanatic
पूर्वानुमानित,Predicted
विली,Willie
सीटें,Seats
खरीदते,Buy
पिच,Pitch
दुश्मन,enemy
अनुभूत,Realized
तिल,Mole
फिसल,Slipped
१९७०,1970
कितनी,How much
जोस,Jose
Iturbi,Iturbi
pianists,pianists
सीन,Seine
17,17
एमजीएम,MGM
श्रेय,Credit
ऑडिशन,Audition
सैनिक,Soldier
कोलंबिया,Colombia
सनसनी,Sensation
प्रियजनों,Loved ones
तारीफ,praise
स्पेन,Spain
De,De
Soto,Soto
विजय,victory
ड्रॉप,Drop
-एक,-One
लिसा,Lisa
कोच,The coach
फर्स्ट,First
क्लास,Class
शेयरों,Shares
हैक,Hack
किशोरों,Adolescents
लानत,Damn
जासूसी,Spying
यात्रियों,Travelers
शिकायतों,Complaints
मस्तिष्क,Brain
राहेल,Rachel
कॉक्स,Cox
खिंचाव,Stretch
वेस,Wes
डरपोक,Coward
शापित,Damned
geek,geek
अल्ट्रा,Ultra
खिताब,The title
एन,N
एबीसी,ABC
सार्वजनिक,Public
वर्णित,Described
वेब,Web
खोना,To lose
सुविधाओं,Features
पूछते,Asks
टोकन,Token
कक्षा,class
इशारा,Gesture
चाची,Aunt
हिल्डा,Hilda
रीयूनियन,Reunion
Zelda,Zelda
मोमबत्ती,Candle
काटा,Kata
डीजे,DJ
सुई,Needle
इंजन,The engine
बेधड़क,Dauntless
राजमार्ग,Highway
७०,70
प्लस,Plus
सुरंग,Tunnel
अनूठा,Unique
एलियंस,Aliens
तय,Fixed
धार्मिक,Religious
प्रतिरक्षा,Immunity
dingo,dingo
खरीदें,Buy
यू,You
ऑस्ट्रेलियाई,Australian
लहजे,Accents
Neill,Neill
पैतृक,Ancestral
जंम,Jum
सालों,Years
बग,Bug
आशावादी,Optimistic
वालेस,Wallace
लिंच,Lynch
जिनकी,Whose
चिंता,anxiety
अवहेलना,Neglect
जिंमेदार,Alive
जैतून,Olive
क्रिस,Chris
आशावाद,Optimism
उत्पन्न,Generated
पार्किंग,Parking
व्यवधान,Interruption
हवाई,airy
ग्राहक,The customer
ड्वाइट,Dwight
इनकार,Refuse
तुंहारी,You
झूठ,lie
सो,So
गाड़ियों,Trains
विमानों,Planes
ऑटोमोबाइल,Automobile
निकोल,Nicole
किडमैन,Kidman
रूसी,Russian
चैप्लिन,Chaplin
केमिस्ट्री,Chemistry
कोण,Angle
गुस्से,Anger
Mathieu,Mathieu
स्कोरिंग,Scoring
फिल्माने,Filming
स्कॉटिश,Scottish
किसान,FArmer
लूटने,Rob
खेतों,Fields
था..,Was ..
चिल्ला,Screaming
तोड़,the break
मेकअप,Makeup
बढ़ता,Increases
y,y
पक्षों,The sides
पोस्ट,Post
छेद,The hole
विश्लेषण,Analysis
कुत्तों,Dogs
Dr.,Dr.
भयभीत,Frightened
डायनासोर,Dinosaur
छमाही,Half yearly
अभाव,The absence of
लक्षित,Targeted
कारकों,Factors
गुजारें,Pass
आना,come
Poirot,Poirot
overdone,overdone
समाधान,Solution
गद्देदार,Padded
डार्क,Dark
२,2
जूता,shoe
त्रुटिहीन,Impeccable
फिलिप,Phillip
छात्रों,The students
लियोनार्ड,Leonard
रैंक,Rank
भानुमती,Pandora
वायरस,Virus
आपदा,Disaster
क्रॉस,The cross
१९९६,1996
एनबीसी,NBC
लेकर,By taking
बंधन,Bondage
परिसर,The premises
अखबार,Newspaper
समीक्षक,Critic
एशले,Ashley
सोचो,Think
स्कारलेट,Scarlett
आर्मस्ट्रांग,Armstrong
अजनबियों,Strangers
उदारवादी,Moderate
युद्घकालीन,Wartime
भावपूर्ण,Emotional
है-या,Is-or
Humphrey,Humphrey
Bogart,Bogart
Mildred,Mildred
वेट्रेस,Waitress
Bette,Bette
स्वार्थी,Selfish
मोहित,enamoured
फ्रांसिस,Francis
ढूंढने,To find
हेल,Hell
जोश,passion
ओलिविया,Olivia
लेह,Leh
१९३४,1934
उत्तराधिकारिणी,Heiress
कुतिया,Bitch
अस्वीकार,Reject
शातिर,Vicious
मोशन,Motion
जॉइस,Joyce
बराबर,equal
ग्रीक,Greek
मुक्का,Punch
सजायाफ्ता,Convicted
उदासीनता,Apathy
जुटा,Raised
पाते,Find
विश्वासों,Beliefs
तभी,Only then
वाहवाही,Applause
ईरान,Iran
भर्ती,Recruitment
आधिकारिक,Official
मनुष्य,humans
लड़कियाँ,The girls
स्टेडियम,Stadium
निकलने,To leave
उठा,picking
उत्पीड़न,Harassment
जोखिम,The risk
प्रक्षेपण,launch
विभाजित,Divided
लियो,Leo
पोस्टर,the posters
मिलकर,together
वॉन,Von
टरिे,Tariye
अनोखा,unique
वेयरवोल्फ,Werewolf
चाचा,uncle
किंगडम,Kingdom
अस्पताल,Hospital
बनाए,Made
बेखबर,Unaware
वॉयस,Voice
ओवर,Over
खींचता,Pulls
कायर,Coward
बजोर्क,Bjork
विनाश,Destruction
दरअसल,Actually
विरोधी,The opponent
कार्यों,Work
पुनर्विचार,Reconsideration
मिर्च,chilli
टोपी,hat
समुद्र,sea
अखरोट,Walnut
यादें,Memories
दवा,Medicine
गुफा,Cave
फंस,Trapped
निपुण,Accomplished
Sabriye,Sabriye
विरोधाभासी,Contradictory
माउंटेन,Mountain
अकादमिक,Academic
शिखर,The summit
संमेलन,Meeting
त्याग,Sacrifice
व्यवसाय,Business
अहंकारी,Egoistic
मादक,Intoxicating
द्रव्यों,Matter
लत,Addiction
स्वयंभू,Self-made
फ्रेंको,Franco
पांच,Five
ग्राफिक्स,Graphics
Bowser,Bowser
शाप,The curse
पार्ट्स,Parts
स्तरों,Levels
उपयोगी,Useful
Luigi,Luigi
बू,Boo
अगला,next
007,007
चमकीले,Bright
शांतिपूर्ण,Peaceful
विकासशील,Developing
वाह,Wow
खंड,Section
चिकनी,Smooth
आपराधिक,Criminal
उत्थान,Uplift
टायर,Tire
रक्षक,Protector
प्लाटून,Platoon
भेज,Send to
४००,400
सामंती,Feudal
शोगुनेट,Shogunate
गठन,Build
लेखकों,The authors
जहमत,Bahmat
दिनांकित,Dated
उपभूखंडों,Subdivisions
विनाशकारी,Destructive
निस्संदेह,Undoubtedly
थकाऊ,Tiresome
तकनीकों,Techniques
सैकड़ों,Hundreds of
मजबूती,Strength
खूनी,Bloody
अनायास,Spontaneously
पिघलने,Melting
पॉट,The pot
मेकर्स,Makers
लेते,Take it
अनुपस्थित,Absent
मोटी,fat
वेशभूषा,Costumes
लंगड़ा,Lame
मक्खियों,The flies
लल्लू,Lallu
चिबा,Chiba
नामों,Names
Cosimo,Cosimo
निकला,Out
पेट्रीसिया,Patricia
इटालियन,Italian
Collinwood,Collinwood
आपका,your
तिजोरी,The safe
चोरों,Thieves
कानूनी,Legal
गैरकानूनी,Illegal
पैंट,Pants
नायकों,Heroes
कालंबिन,Columbine
व्यस्त,Busy
फिलिप्स,Phillips
३,3
४०-कुछ,40-something
पियानो,the piano
प्रशिक्षक,Trainer
हमलों,The attacks
बिगाड़ने,Spoiler
आवेशपूर्ण,Passionate
ईर्ष्या,the envy
शरारत,Mischief
झपट्टा,Swoop
खींचती,Pulls
वारंट,Warrant
Pazu,Pazu
जेम्स,James
वान,Wan
खान,Khan
सुबह,morning
शीता,Sheets
अंना,Anna
Paquin,Paquin
फिल्मकारों,Filmmakers
होंठ,Lips
अनुवाद,Translation
विविध,Diverse
उत्तेजना,stimulus
Hamill,Hamill
आवाजें,Voices
खंडहर,Ruins
औद्योगिक,Industrial
वेलेंटाइन,Valentine
किंवदंतियों,Legends
सीरियल,Serial
किलर,Killer
माध्यमिक,Secondary
घावों,Lesions
सहपाठी,Classmate
गर्लफ्रेंड,Girlfriends
जमा,deposit
चुपके,stealth
90,90
जेसिका,Jessica
तीर,The arrow
धनुष,Bow
शल्य,Surgery
आपरेशन,Operation
टेबल,Table
छिपाने,To hide
रिचर्ड्स,Richards
स्नान,The bath
मार्ले,Marley
चलेगा,Will work
हा,Ha
तीसरा,The third
तिथि,Date
भूलभुलैया,Maze
अवर,Inferior
शॉर्ट्स,Shorts
नौकरानी,Maid
काटता,Bite
प्रतिबिंब,Reflection
हों,Get
तमाशा,Spectacle
अंधेरा,dark
चकमा,Dodge
प्रेरणा,Inspiration
पश्चाताप,remorse
है-तो,Is-so
व्यथा,Sorrow
वर्गों,Classes
मनमाना,Arbitrary
शर्मीली,Shy
दमित,Repressed
पूर्वी,In the east
Sammo,Sammo
वसा,Fat
सैर,Excursion
मीठी,sweet
बीमा,Insurance
द्वंद्वयुद्ध,Duel
टोन,Tone
मीठा,sweet
Leung,Leung
climactic,climactic
अधीन,Under
प्रसंन,Propulsion
ऊंचाई,The height
जेड,Jade
गुडी,Goodie
इंटरनेट,Internet
sitcoms,sitcoms
Bates,Bates
रंगी,Colorful
राम,RAM
१९९५,1995
डैड,Dad
जंगलों,Forests
प्रतिस्थापित,Substituted
sitcom,sitcom
शिविर,Camp
गनर,Gunner
ग्लोरिया,Gloria
Melvyn,Melvyn
Hayes,Hayes
बुलंद,Elevated
ग्राहम,Graham
Davies,Davies
कर्नल,Colonel
रेनॉल्ड्स,Reynolds
डोनाल्ड,Donald
Wallah,Wallah
रस्सी,rope
ऑफ,Off
डेरेक,Derek
लिखे,Write
पॉपुलर,Popular
चार्ट,Chart
गोलियां,Tablets
भुला,Forgotten
१९८१,1981
दोहराया,Repeated
दाऊद,David
दिखाए,Showed up
एलेक,Alec
गिनीज,Guinness
रुप,Form
व्युत्पंन,Derivation
रचने,Design
बेईमान,Dishonest
सच्चा,true
कहेंगे,Will say
गपशप,gossip
योग्यता,worth
है-जो,That is
वाणिज्यिक,Commercial
क्लोन,Clone
टोड,Todd
अभिव्यक्ति,Expression
त्रुटिपूर्ण,Inaccurate
समझना,understanding
दिनांक,date
Belafonte,Belafonte
सीखता,Learns
Mostel,Mostel
प्रार्थना,Prayer
रोकता,Stops
एकांतर,Alternately
गिरने,Falling
स्वर्गदूतों,The angels
फैनी,Fanny
रूपक,Metaphor
ड्यूक,Duke
द्विध्रुवी,Bipolar
वकील,lawyer
मनोरोग,Psychiatric
रॉस,Ross
कलंक,Stigma
अग्रिम,In advance
हफ्ते,Weeks
तलाक,Divorce
सर्वेक्षण,Survey
एलायंस,Alliance
मानना,to accept
२००६,2006
शिक्षित,Educated
उपचार,the treatment
अज्ञान,Ignorance
पूर्वाग्रह,Bias
वसंत,The spring
रेड,Red
इंडियन,Indian
काउंटी,The county
जाल,The trap
गवाहों,The witnesses
वध,Slaughter
उथले,Shallow
दोहराव,Repetition
सिखा,Teach
बजाई,Rang
Dudikoff,Dudikoff
सामूहिक,the collective
बर्ताव,Behave
ढाल,shield
डड,Dud
लिपियों,Scripts
दौड़,The race
यहूदी,Jewish
बस्ती,slum
cliches,cliches
Antwone,Antwone
फिशर,Fisher
रेस,Race
मई,May
खोजना,Search
चिपक,Sticking
परहेज,Abstinence
उठाओ,pick up the
चूहे,Rat
पहने,To wear
भेड़,The sheep
चबूतरे,Pops
हस्तमैथुन,Masturbation
अनजाने,Unknowingly
स्तन,breast
बालों,Hair
है-कि,Is that
यम,Yum
है-वहां,Is there
अत्यंत,Extremely
फाइट,fight
अनुकरण,Imitation
इली,Ili
होंगे,Will be
क़ीमती,Valuable
पहलुओं,Aspects
ढलाई,Foundry
Jacqueline,Jacqueline
उल्लू,Owl
Bartel,Bartel
बेकन,Bacon
Woronov,Woronov
Raoul,Raoul
तीनों,All three
Ustinov,Ustinov
तैयारी,Preparation
घुसपैठ,Infiltration
मैगी,Maggi
कार्यकारी,Executive
डिजाइन,Design
निर्बल,Weak
कार्ड,Card
हेरफेर,Manipulation
एंबर,Amber
ऑस्टिन,Austin
फटे,Torn
स्ट्रीट,Street
नॉर्मन,Norman
क्रेग,Craig
ब्रैड,Brad
पिट,Pit
फादर,Father
जेसी,Jesse
ज़माने,In time
डेबरा,Debra
एस्टन,Aston
हितों,Interests
सर्कल,Circle
डायना,Diana
डेमी,Demi
मूर,Moore
मो,Mo
प्रतिस्थापन,Replacement
चार्ली,Charlie
रॉबर्ट्स,Roberts
ब्रुक,Brooke
बोनी,Bonnie
टेरी,Terry
सूरज,Sun
लकड़ी,the wood
जुनूनी,Obsessive
किशोरी,teenager
पिशाच,The vampire
यीशु,Jesus
लेख,Article
भूख,hunger
1990,1990
चमत्कारिक,Fantastic
1920,1920
यथार्थ,True
कुरकुरा,Crisp
अनुयायियों,Followers
कक्षाओं,Classes
इनमें,In these
समीक्षाओं,Reviews
कलात्मकता,Artistic
पॉजिटिव,Positive
आलोचकों,Critics
यूरोपीय,European
लैरी,Larry
सीडी,CD
पटरियों,Tracks
ओरिएंटल,Oriental
पुस्तकों,The books
नेड,Ned
21,21
माल्टा,Malta
बेकर,Baker
क्रूरता,Cruelty
सहा,The six
कहर,Havoc
जहाजों,The ships
स्थानांतरण,Transfer
अंतर्निहित,Built-in
सिविल,The civil
रमाला,Ramala
Francisca,Francisca
विक्टोरिया,Victoria
रोग,Disease
आरोग्यआश्रम,Sanitarium
ब्रूनो,Bruno
आवरण,the cover
है/,is/
लालसा,Longing
जरूरतों,Needs
पतली,Thin
धागे,Threads
भक्ति,Devotion
आहे,Is there
Jaime,Jaime
भयावहता,Horrifyingness
McCormick,McCormick
Hazzard,Hazzard
हंटर,Hunter
कोयोट,Coyote
स्वच्छ,clean
सीधा,Straightforward
सहना,To endure
पार्कर,Parker
राइटिंग,writing
पोज,Pose
आखिरी,The last
परफेक्ट,perfect
आतंकवाद,Terrorism
Goldblum,Goldblum
रहस्योद्घाटन,Revelation
घरों,Homes
एंथोनी,Anthony
स्लाइड,Slide
प्रवाह,Flow
१९९०,1990
स्नैपशॉट,Snapshot
वीनस,Venus
कोरी,Blank
कोठरी,The closet
Northam,Northam
पाल्ट्रो,Paltrow
वृद्ध,Aged
Sarafina,Sarafina
Soweto,Soweto
हिंसक,Violent
कपड़ों,The clothes
तस्वीरों,Photos
आक्रामक,Aggressive
मारी,Mari
स्कूलों,Schools
गलियों,The streets
गिरफ्तार,Arrested
कानूनों,The laws
जैज,Jazz
अड्डा,The base
गहना,The jewel
विभाजन,the division
किस,kiss
मैक,Mac
वित्त,Finance
जनरलों,Generals
सवालों,The questions
जिंमेदारी,Lifelong
घूम,Roam
सरगर्मी,Stirring
लगेगा,Will feel
एलीशा,Elisha
तहखाने,Basement
लिफ्ट,the lift
हे,Hey
जिन्होंने,Who have
चैनलों,Channels
देखा..,saw..
बेब,Babe
Reiser,Reiser
कंबल,Blanket
पूजा,prayer
लुकास,Lucas
कालेब,Caleb
विचारशील,Thoughtful
विरासत,Inheritance
परी,The angel
प्लेग,Plague
गेल,Gale
निकटतम,the nearest
प्रश्न,questions
अनुत्तरित,Unanswered
सच्चाई,truth
विकल्पों,Options
आर्क्स,Arcs
धागा,Thread
होनी,To be
रोटी,bread
दक्षिणी,South
पियरे,Pierre
सीखते,Learns
Takashi,Takashi
साधारण,Simple
कोर,Corner
दिखावा,show off
पीसी,PC
उंनत,Aunt
विवाद,dispute
दोहरा,Double
में-यह,in this
बाईं,The left
पंच,Punch
grimaces,grimaces
आभारी,Thankful
ईलिंग,Ealing
श्रमिकों,The workers
अधिकारों,The rights
क्रांतिकारी,Revolutionary
अशांति,Unrest
नाममात्र,Nominal
व्हाइट,The white
पहनता,Wears
सूखी,The dry
कोणों,Angles
तात्कालिकता,Urgency
सेसिल,Cecil
सनक,Craze
स्वस्थ,healthy
VIVAH,VIVAH
शराब,alcohol
मार्ग,way
सगाई,The engagement
शिष्टाचार,Etiquette
Sooraj,Sooraj
बड़जात्या,Barjatya
होमवर्क,home work
शाहिद,Shahid
स्त्री,Female
अमृता,Amrita
राव,Rao
भोले,Naive
विशेषताओं,Characteristics
टूट,break
भतीजी,niece
सजा,Punishment
होनहार,Promising
गैटिसबर्ग,Gaitisburg
नागरिक,Citizen
भूरे,Brown
वर्दी,Uniform
अनुशासन,Dicipline
वाहिनी,Duct
बैठने,Sit down
जून,June
कस्टर,Cutter
स्विचन,Switching
उपनाम,Surname
कुशिंग,Cushing
सांता,Santa
साथ-साथ,together
हार्पर,Harper
छापे,Raids
नील,Indigo
Peyton,Peyton
Timon,Timon
चाहने,Wanting
तीसरी,The third
thats,thats
है-और,Having more
है-एक,there is one
समझा,Understood
प्रदर्शनी,Exhibition
बाईको,Baixo
नापसंद,Dislikes
एहसान,favor
रोने,Crying
एनजी,Ng
आदिम,Primitive
संराट,Sarkat
Palpatine,Palpatine
रोजर्स,Rogers
कसौटी,Criterion
पैलेस,Palace
Leia,Leia
बिकनी,bikini
रीढ़,Spine
सामयिक,Occasional
छींटे,Splatter
मंदबुद्धि,mentally retarded
डरावने,Scary
नीचा,Low
बेचारे,Poor
अधूरा,incomplete
रहेगा,Will remain
ड्रॉ,Draw
सूचित,Inform
डंप,Dump
क्लाइड,Clyde
श्रद्धांजलि,tribute
मोबाइल,mobile
राजनीति,Politics
यूगोस्लाविया,Yugoslavia
आबादी,Population
सफाई,clean
अत्याचार,Torture
एजेंडे,Agenda
संभावनाओं,The possibilities
कुंजी,Key
प्रबंधित,Managed
हत्यारों,The killers
एकाकार,Monotonous
बीटल,Beetle
कैमरामैन,Cameraman
कठपुतली,Puppet
तरस,Longing
टिड्डी,Grasshopper
कारनामों,Adventures
अधिग्रहण,Acquisition
सोफे,Sofa
अंतरंगता,Intimacy
चिमनी,Chimney
है.,is.
उखड़े,Uproot
गोते,Dive
प्रजातियों,Species
मात्र,Only
स्तनों,Breasts
निर्लज्ज,Shameless
वर्षीय,Year old
शुक्रवार,Friday
राज,secret
कोने,The corner
ईमेल,E-mail
भय,Fear
ck,ck
चुप,quiet
हिल,Hill
सेल,Cell
अक्षरों,The letters
मनोगत,Occult
बीसवीं,Twentieth
चक्र,wheel
घूंसे,Fights
Paine,Paine
स्टीवंस,Stevens
Scalise,Scalise
दोष,Defect
पराया,Alienation
रखता,Keeps
थप्पड़,Slap
कबूल,Confess
कमेंटरी,Commentary
ऑफिस,Office
डेम,Dame
लपटों,Flames
ब्रांड,The brand
अन्यायपूर्ण,Unjust
ब्राजील,Brazil
बारह,Twelve
मारिया,Maria
वेश्यावृत्ति,Prostitution
बेचता,Sells
Darlene,Darlene
सोल,Soul
प्लास्टिक,Plastic
सर्जरी,The surgery
Title,Title
लोमड़ियों,Fox
Jodie,Jodie
टैक्सी,the cab
ड्राइवर,Driver
ब्राड,Brad
चेरी,Cherry
निकलना,Get out
स्लैम,Slam
सूत्र,Formula
और/या,And / or
popped,popped
कैंडी,Candy
वितरण,Delivery
बीमारियों,Illnesses
तारा,Star
टोबी,Toby
Farrah,Farrah
फॉसेट,Fosset
धन्यवाद,Thank you
फनी,Funny
ड्रामा,Drama
बेलुशी,Belushi
लिंडा,Linda
केँ,The
पौष्टिक,Nutritious
एल्विस,Elvis
परमाणु,Atom
पालतू,The pet
कनाडाई,Canadian
ऐनी,Anne
बर्टन,Burton
विज्ञापनों,Ads
ट्रेलर,Trailer
उदा,Eg
नली,Hose
किस्म,Variety
अंडा,Egg
भाषण,speech
अतिशयोक्तिपूर्ण,Hyperbolic
पुष्टि,Confirmation
टोंटी,Spout
बाहुबली,Bahubali
हंसाने,Laugh
कुख्यात,Notorious
Culkin,Culkin
भीख,Begging
Judd,Judd
गूंज,Echo
गर्दन,Neck
काबू,Control
संक्रामक,Infectious
कमान,The command
१९९७,1 99 7
नवंबर,November
जिनेवा,Geneva
नर्वस,Nervous
स्विस,Swiss
गुजर,Passing
एज,Edge
दृश्यरतिक,Voyeur
कमाता,Earning
मिसाल,Precedence
विसंगतियों,Anomalies
योग,Yoga
=,=
आखिर,After all
Kristofferson,Kristofferson
ग्लोब,Globe
देखिए,Look at
स्पिन,Spin
अनगिनत,Countless
गोलियों,Bullets
देखनी,Watch
whilst,whilst
काहिल,Cahill
प्लेयर,The player
wasn,wasn
ta,ta
बर्बादी,Waste
मंगल,Mars
अदा,Paid
हॉफमैन,Hoffman
पोर्न,Porn
नामांकित,Nominated
प्रोग्रामिंग,Programming
बे्रंडा,Bernda
डेनवर,Denver
कमर,waist
नानी,Maternal Grandmother
Quartier,Quartier
Rowlands,Rowlands
पर्यटक,Tourist
Buscemi,Buscemi
संपर्क,contact
Nolte,Nolte
बिताने,To spend
बार्सिलोना,Barcelona
2007,2007
आय,Income
अभिमानी,Arrogant
भ्रमित,Confused
femme,femme
जागते,Awake
दर्जनों,Dozens
हाउस,House
Crouse,Crouse
करिश्माई,Charismatic
कहूं,Say
तना,Stem
मामेट,Mamet
मंत्र,mantra
वार्ड,Ward
नतीजतन,As a result
दरार,Crack
चमड़े,Leather
चिंताजनक,Worrisome
पाउली,Pauli
प्रेस,Press
वार्ता,The talk
कोमलता,Softness
विज्ञापन,advertisement
मैडली,Madley
आइसक्रीम,Ice Cream
वैन,Van
चेस,Chase
विधेयक,The bill
१९४४,1944
उत्पादित,Produced
उज्ज्वल,Bright
जन,The people
ड्रेक,Drake
जनवरी,January
यादों,Memories
समेटे,Can bo
फोटो,Photo
महंगा,costly
ढीले,Loose
D.W.,D.W.
ग्रिफ़िथ,Griffith
कीटन,Keaton
सदियों,Centuries
संपादित,Edited
चेंबरलेन,Chamberlain
हजारों,Thousands of
प्राणियों,Creatures
जुगाड़,Jugaad
आध्यात्मिकता,Spirituality
आध्यात्मिक,Spiritual
उखाड़,Uproot
बेचने,To sell
पीटा,Beaten
आर्थिक,Economic
साज़िश,Intrigue
तल्लीन,Engrossed
जलाया,lit up
सुनसान,Deserted
आपकी,your
Buttgereit,Buttgereit
एंजिल,Angel
ठहराव,Standstill
लोगान,Logan
अल्बा,Elba
sexploitation,sexploitation
सत्तर,Seventy
तेज़ी,Speed
दबा,Suppressed
टार्जन,Tarzan
सौ,Hundred
प्रतिलिपि,Copy
हाथी,elephant
नदी,River
समझाओ,Explain
गोता,Dive
वानर,Apes
बलात्कारी,Rapist
सज़ा,Punishment
झुकाव,Tilt
फोकस,Focus
गुजरता,Passes away
लोक,Region
व्यर्थ,in vain
ऊटपटांग,High jump
हरकत,Movement
इरादे,Intent
Atwill,Atwill
चमगादड़,Bat
घूमती,Spun
स्तरीय,Level
हाय,Oh
im,im
मेलिसा,Melissa
हार्ट,Heart
सबरीना,Sabrina
बोतलों,Bottles
अभ्यस्त,Used to
Orson,Orson
पूर्वावलोकन,Preview
रसीला,Lush
थके,Weary
भाता,Good fortune
शंघाई,Shanghai
निर्दिष्ट,Specified
लैब,Lab
कट,cut
रील,Reel
डाइविंग,Diving
मकसद,Motive
पिल्ला,Pup
छलांग,Jump
in,in
पिकनिक,Picnic
whodunit,whodunit
गिटार,Guitars
कॉल,Call
पैटर्न,Pattern
कबाड़,Trashy
अश्लीलता,Obscenity
मिलर,Miller
टॉस,Toss
कैथी,Cathy
isn,isn
संभालने,Assuming
रोजगार,Employment
क्लारा,Clara
Sundance,Sundance
जूरी,Jury
घूर,Staring at
घूमना,to roam around
उपद्रव,Nuisance
कब,When
बमबारी,Bombing
इमारतों,Buildings
मेड,Made
Foch,Foch
सुरुचिपूर्ण,Elegant
हानिरहित,Harmless
उंमादी,Thump
देशी,Native
और/,And/
नंरता,Nooriety
Blaise,Blaise
Blackadder,Blackadder
टाइम्स,Times
बाफ्टा,Bafta
रॉबिंसन,Robinson
वफादार,loyal
बटलर,Butler
यहोवा,The lord
मिरांडा,Miranda
तलना,Fry
overkill,overkill
कं,Co.
बूढ़ी,Old man
आह,Ahh
मास्क,Mask
वांछित,Desired
गन्दा,Messy
नौकरियों,Jobs
सज्जनों,Gentlemen
ग्रांट,Grant
Myrna,Myrna
लॉय,Loy
अमिताभ,Amitabh
बच्चन,Bachchan
मरते,Die
सिखाना,Teach
निभाने,To play
Boman,Boman
ईरानी,Irani
कॅरिअर,Careers
छुट्टियों,The holidays
टोने,Tony
लापरवाही,Negligence
Bettie,Bettie
पिन,Pin
ग्रेचेन,Gretchen
पूछताछ,Inquire
धकेल,Pushing
मरियम,Mary
नाखून,nails
हाथों,Hands
फ्लॉप,Flop
कालातीत,Timeless
स्टार्स,Stars
दिखाते,To show
बढ़ना,to grow
गाया,Sang
प्रस्तुति,Presentation
होल्म,Holm
कसाई,Butcher
सैमसन,Samson
लिखना,To write
पोलिश,Polish
हानि,Loss
Paxton,Paxton
ballroom,ballroom
कड़ाई,Strictly
संस्था,Organization
वक्त,time
इरादों,Intentions
अंडे,The eggs
चिकन,Chicken
मुग्ध,Enchanted
जाएंगे,Will go
एड्रेनालाईन,Adrenaline
हॉलैंड,Holland
बंदरों,Monkeys
पैक,Pack
विलिस,Willis
Madeleine,Madeleine
स्टो,Sto
प्रतीकों,Symbols
प्रविष्टि,Entry
सुनी,Listened
हैलो,Hello
कॉमिक्स,Comics
अनुकूलित,Customized
ट्रेसी,Tracy
गड़बड़,jumbled up
मैडोना,Madonna
वॉरेन,Warren
Beatty,Beatty
मोहक,Captivating
व्यंग्यात्मक,Sarcastic
निरो,Nero
संकर,Hybrid
किम,Kim
डेला,Della
जुड़वां,Twins
Terri,Terri
केनेथ,Kenneth
भागीदार,Partner
जूते,Shoes
खिलौने,Toys
उसमें,in that
खरीदारी,Shopping
कागज,Paper
लपेटन,Wrapping
भिड़ना,Confront
लॉग,Log
हड़पने,Grab
toolbox,toolbox
Redmon,Redmon
खोलो,Open up
मोतियों,Beads
बेच,Sell
लगी,Got it
सोचने,To think
रीें,Ree
पूर्ववत,Undone
Lifshitz,Lifshitz
वंय,Subsistence
समुंदर,Saltwater
बुनाई,Weaving
छवियां,Images
स्मृति,Memory
Cédric,Cédric
सौंय,Gentleman
घबरा,Nervous
इस्तीफा,Resignation
स्टैंड,The stand
संभोग,sexual intercourse
तनावपूर्ण,Stressful
मुकाबला,competition
बाधित,Obstructed
प्रबल,Strong
चुप्पी,Silence
तेरह,Thirteen
तीस,thirty
मनन,Contemplation
हालाँकि,However
ग्रांड,Grand
Myrtle,Myrtle
आकस्मिक,Accidental
शास्त्र,ethology
घूरना,Stare
ज़रूरत,Need
जागने,Wake up
हटा,Remove
Juliette,Juliette
Binoche,Binoche
कुक,Cook
वार्षिक,Yearly
जगाने,Awake
पतवार,Helm
बोझ,The burden
